Alim. Car. NITENS 1;Alim. Cam. NITENS 1;Pic. Car. NITENS 1;Pic. Cam. NITENS 1;Total Alim. NITENS 1;Tiempo muerto L. corta 1;Tiempo efectivo L. corta 1;Tiempo muerto L. larga 1;Tiempo efectivo L. larga 1;Disp. L. corta 1;Disp. L. larga 1;Velocidad 1 ;Velocidad Real 1 ;PM NITENS 1;Consumo Diges. PT 1;Inv. Asti. NITENS 1;Inv. Asti. GLOBULUS 1;PM Galpon 194-1;PM Caldera 198-1;PM Secador 1;Inv. Corteza 1;Alim. Car. NITENS 2;Alim. Cam. NITENS 2;Pic. Car. NITENS 2;Pic. Cam. NITENS 2;Total Alim. NITENS 2;Tiempo muerto L. corta 2;Tiempo efectivo L. corta 2;Tiempo muerto L. larga 2;Tiempo efectivo L. larga 2;Disp. L. corta 2;Disp. L. larga 2;Velocidad 2;Velocidad Real 2;PM NITENS 2;Consumo Diges. PT 2;Inv. Asti. NITENS 2;Inv. Asti. GLOBULUS 2;PM Galpon 194-2;PM Caldera 198-2;PM Secador 2;Inv. Corteza 2;Total Astillado;Prod. Total
69;0;2384;0;2384;425;1015;425;1015;0,7049;0,7049;99;144;5752;5678;119356;110902;780;855;430;2394;81;17;2798;433;3231;380;1060;410;1030;0,7361;0,7153;135;184;5752;5678;120132;107015;780;855;430;899;5615;9217
91;14;3144;356;3500;255;1185;710;730;0,8229;0,5069;146;175;7839;5624;127155;116526;649;755;494;2288;82;27;2833;687;3520;315;1125;795;645;0,7813;0,4479;147;189;7839;5624;127971;112639;649;755;494;793;7020;7839
73;50;2522;1273;3795;230;1210;570;870;0,8403;0,6042;158;188;7573;5920;134687;122446;636;992;566;1932;86;12;2971;305;3276;340;1100;1440;0;0,7639;0;137;174;7573;5920;135544;118559;636;992;566;437;7071;7573
92;9;3178;229;3407;315;1125;605;835;0,7813;0,5799;142;183;7295;6109;141939;128555;565;960;562;1537;109;8;3765;204;3969;482;958;1380;60;0,6653;0,0417;165;257;7295;6109;142839;124668;565;960;562;42;7376;7295
65;16;2245;407;2653;445;995;445;995;0,691;0,691;111;159;6440;5662;148339;134217;987;853;641;1671;80;43;2764;1095;3858;315;1125;420;1020;0,7813;0,7083;161;206;6440;5662;149279;130330;987;853;641;176;6511;6440
76;9;2625;229;2855;300;1140;300;1140;0,7917;0,7917;119;155;6037;4428;154345;138645;844;894;686;1621;65;43;2245;1095;3340;340;1100;340;1100;0,7639;0,7639;139;185;6037;4428;155316;134758;844;894;686;126;6195;6037
66;8;2280;204;2484;425;1015;360;1080;0,7049;0,75;103;144;5446;4836;159758;143481;892;921;782;1592;50;56;1727;1425;3153;285;1155;350;1090;0,8021;0,7569;131;162;5446;4836;160762;139594;892;921;782;97;5636;5446
110;0;3800;0;3800;333;1107;1078;362;0,7688;0,2514;158;206;3710;5801;163427;149282;623;938;534;1277;0;0;1;0;1;1440;0;1440;0;0;0;0;0;3710;5801;164472;145395;623;938;534;-218;3801;3710
68;29;2349;738;3087;350;1090;920;520;0,7569;0,3611;129;169;7062;6062;170447;155344;744;951;657;1070;62;31;2142;789;2931;435;1005;1175;265;0,6979;0,184;122;169;7062;6062;171534;151457;744;951;657;-425;6018;7062
44;47;1520;1196;2716;355;1085;355;1085;0,7535;0,7535;113;152;6242;4957;176654;160301;871;901;729;1040;38;82;1313;2087;3400;335;1105;335;1105;0,7674;0,7674;142;184;6242;4957;177776;156414;871;901;729;-455;6116;6242
